feature,mean_abs_shap
turbidity_roll_std_6,0.66410494
turbidity,0.5211943
turbidity_roll_std_3,0.34250754
turbidity_roll_mean_6,0.3124762
turbidity_lag_1,0.23188421
turbidity_change_1,0.20479675
specific_conductance_roll_std_6,0.1705167
temperature_roll_mean_6,0.15257499
turbidity_lag_2,0.1449042
specific_conductance_lag_3,0.13141233
turbidity_lag_3,0.115133114
specific_conductance,0.11051848
specific_conductance_roll_mean_6,0.09977834
temperature_lag_3,0.095744
temperature_lag_2,0.07396321
temperature,0.07178491
turbidity_roll_mean_3,0.06973931
specific_conductance_lag_1,0.06176161
specific_conductance_change_1,0.056168605
temperature_roll_std_6,0.047434784
specific_conductance_lag_2,0.03914197
temperature_roll_mean_3,0.038516026
specific_conductance_roll_std_3,0.038514685
pH_roll_mean_3,0.03653783
specific_conductance_roll_mean_3,0.03606786
temperature_change_1,0.030493798
temperature_lag_1,0.028585095
pH_roll_mean_6,0.02436976
temperature_roll_std_3,0.016678084
pH_roll_std_6,0.010521665
pH,0.010215842
pH_lag_3,0.007373429
pH_change_1,0.007168339
pH_lag_2,0.0057072556
pH_lag_1,0.0053013097
pH_roll_std_3,0.0022009558
