pH,tds,turbidity,temperature,label
7.68,632.4,3.34,28.0,Unsafe
7.21,82.9,2.72,25.01,Safe
6.78,599.5,25.78,22.23,Unsafe
7.36,446.6,16.82,28.66,Unsafe
7.3,422.7,3.88,22.23,Unsafe
8.23,1069.0,15.75,28.05,Unsafe
7.04,145.4,2.47,23.05,Safe
9.33,1914.7,7.02,23.69,Unsafe
6.69,116.1,0.13,19.22,Safe
7.34,444.7,2.84,27.1,Unsafe
8.32,1958.7,21.08,25.79,Unsafe
6.79,619.4,32.94,25.0,Unsafe
7.24,158.8,2.8,20.43,Safe
8.83,1879.9,11.72,24.88,Unsafe
6.74,84.7,0.06,24.16,Safe
6.5,458.2,17.37,24.72,Unsafe
6.48,416.0,12.91,27.38,Unsafe
6.96,125.8,2.34,24.35,Safe
7.81,634.7,0.27,27.2,Unsafe
7.14,115.9,3.23,23.48,Safe
8.22,1059.5,34.54,28.38,Unsafe
6.27,308.3,27.2,25.68,Unsafe
6.82,402.1,5.43,27.98,Unsafe
6.4,654.3,34.92,25.69,Unsafe
7.43,110.7,2.46,24.84,Safe
8.2,1039.6,10.82,26.57,Unsafe
6.88,135.0,0.56,23.73,Safe
8.21,1053.2,17.05,29.31,Unsafe
6.81,199.3,2.09,26.26,Safe
7.3,545.8,3.62,27.02,Unsafe
7.42,99.3,0.21,23.68,Safe
7.37,178.8,2.43,21.09,Safe
8.56,1804.1,16.06,28.97,Unsafe
6.43,440.5,21.6,27.49,Unsafe
8.98,1403.0,17.06,27.06,Unsafe
8.96,1911.5,20.92,24.34,Unsafe
8.14,2065.6,9.3,29.14,Unsafe
7.87,1084.1,22.7,27.54,Unsafe
7.04,97.7,1.06,18.03,Safe
7.93,1025.8,28.45,27.39,Unsafe
9.46,1302.6,16.65,27.21,Unsafe
7.83,1157.4,31.81,25.83,Unsafe
6.45,454.8,32.87,24.77,Unsafe
7.54,545.8,8.49,22.31,Unsafe
7.06,140.9,0.9,23.32,Safe
7.17,848.4,3.84,24.19,Unsafe
7.93,652.6,2.4,23.18,Unsafe
9.0,2165.5,22.49,28.76,Unsafe
7.14,106.7,0.5,18.76,Safe
7.32,391.6,10.64,28.36,Unsafe
6.62,444.7,23.46,22.01,Unsafe
7.06,626.0,18.2,23.24,Unsafe
7.13,92.3,2.13,18.67,Safe
8.75,2062.6,19.9,26.18,Unsafe
7.5,103.6,0.82,22.35,Safe
7.45,163.8,0.0,22.96,Safe
6.57,464.1,23.82,25.12,Unsafe
6.41,736.1,24.79,28.7,Unsafe
6.41,509.1,18.03,23.31,Unsafe
7.1,538.5,6.16,21.31,Unsafe
7.03,292.4,11.27,26.17,Unsafe
7.39,106.1,3.18,22.7,Safe
7.17,500.2,22.71,24.54,Unsafe
7.46,123.4,0.87,22.62,Safe
6.7,668.5,22.6,26.77,Unsafe
8.17,599.6,2.15,22.1,Unsafe
6.46,431.6,25.8,22.9,Unsafe
9.31,1606.3,17.79,25.84,Unsafe
9.33,2456.9,21.81,25.16,Unsafe
9.14,2799.7,23.69,27.54,Unsafe
8.94,2579.8,16.57,29.92,Unsafe
7.08,320.5,7.47,22.43,Unsafe
7.19,593.4,3.48,22.85,Unsafe
7.25,75.3,1.79,21.01,Safe
8.04,908.8,16.06,26.22,Unsafe
7.46,532.9,4.69,23.3,Unsafe
6.97,478.4,24.55,24.97,Unsafe
7.83,876.8,3.38,23.86,Unsafe
7.04,604.0,9.91,23.23,Unsafe
