station,timestamp,pH,turbidity,temperature,specific_conductance,actual_deterioration,predicted_deterioration,prediction_probability,error_type
USGS-01649190,2024-02-01 03:55:00+00:00,7.5,3.8,5.6,541,1,0,0.013449219055473804,false_negative
USGS-01649190,2024-02-01 04:05:00+00:00,7.5,5.2,5.6,541,0,1,0.4821767807006836,false_positive
USGS-01649190,2024-02-01 04:15:00+00:00,7.5,5.6,5.6,541,0,1,0.6236689686775208,false_positive
USGS-01649190,2024-02-01 04:20:00+00:00,7.5,5.8,5.6,541,0,1,0.5077906847000122,false_positive
USGS-01649190,2024-02-01 04:25:00+00:00,7.5,4.8,5.5,541,0,1,0.4802178144454956,false_positive
USGS-01649190,2024-02-01 04:35:00+00:00,7.5,4.9,5.5,541,0,1,0.278631329536438,false_positive
USGS-01649190,2024-02-01 04:45:00+00:00,7.5,4.7,5.5,541,0,1,0.2561984956264496,false_positive
USGS-01649190,2024-02-01 04:50:00+00:00,7.5,4.0,5.5,541,0,1,0.24477261304855347,false_positive
USGS-01649190,2024-02-01 10:00:00+00:00,7.4,3.1,4.6,538,0,1,0.26664116978645325,false_positive
USGS-01649190,2024-02-02 04:20:00+00:00,7.5,2.5,6.1,528,1,0,0.05314605310559273,false_negative
USGS-01649190,2024-02-02 04:30:00+00:00,7.5,2.8,6.1,528,0,1,0.2460976392030716,false_positive
USGS-01649190,2024-02-02 04:35:00+00:00,7.5,2.7,6.1,528,0,1,0.2006324827671051,false_positive
USGS-01649190,2024-02-02 06:20:00+00:00,7.4,2.4,6.1,526,1,0,0.05359391123056412,false_negative
USGS-01649190,2024-02-02 10:00:00+00:00,7.4,2.5,6.2,523,1,0,0.05257891118526459,false_negative
USGS-01649190,2024-02-02 10:10:00+00:00,7.4,2.7,6.2,523,0,1,0.3038543164730072,false_positive
USGS-01649190,2024-02-02 10:15:00+00:00,7.4,2.3,6.2,523,0,1,0.20409372448921204,false_positive
USGS-01649190,2024-02-02 22:55:00+00:00,7.5,1.9,7.4,513,1,0,0.039557866752147675,false_negative
USGS-01649190,2024-02-03 00:25:00+00:00,7.5,1.8,7.2,513,1,0,0.018521921709179878,false_negative
USGS-01649190,2024-02-03 00:55:00+00:00,7.5,1.8,7.2,512,1,0,0.03618840128183365,false_negative
