feature,importance
turbidity_roll_std_6,0.06381854
turbidity,0.059242617
turbidity_roll_mean_6,0.05838488
turbidity_change_1,0.04236231
turbidity_roll_std_3,0.041726407
pH_roll_mean_3,0.035680305
specific_conductance_roll_mean_6,0.03523436
turbidity_lag_2,0.033892356
pH_roll_mean_6,0.030179696
turbidity_lag_1,0.029685188
pH_lag_1,0.029645551
turbidity_lag_3,0.028491667
temperature_lag_1,0.02785231
specific_conductance_lag_3,0.027474679
turbidity_roll_mean_3,0.027328255
specific_conductance_roll_mean_3,0.026925538
temperature_roll_mean_3,0.025507124
temperature_roll_mean_6,0.024158169
specific_conductance_lag_2,0.024079094
specific_conductance_change_1,0.02402894
pH_lag_3,0.023091607
pH_roll_std_6,0.022599611
specific_conductance_roll_std_6,0.021819472
specific_conductance,0.021351427
pH_lag_2,0.020892661
pH_change_1,0.020862145
temperature,0.020077685
temperature_lag_2,0.019858623
temperature_roll_std_6,0.019539949
specific_conductance_lag_1,0.019489786
temperature_lag_3,0.019200461
specific_conductance_roll_std_3,0.018920342
temperature_change_1,0.018718278
temperature_roll_std_3,0.017071238
pH,0.010487533
pH_roll_std_3,0.0103212595
